"Tipo Instrumento" "Nombre" "Sicet" "F.Emision" "F.Vencimiento" "Tipo tasa" "Inicio" "Pago cupon 1" "Pago cupon 2" "Cupon"
"28" "VEBONO" "VEBONO042024" "DPBS09347-0012" "08/01/2013" "18/04/2024" "L. T.  + 9,5" "Cada 91 días" "25/01/2018" "26/04/2018" 14.87
"29" "VEBONO" "VEBONO012025" "DPBS00324-0018" "15/08/2013" "09/01/2025" "L. T. + 9,75" "Cada 91 días" "18/01/2018" "19/04/2018" 15.12
"30" "TIF" "TIF012024" "DPBS00324-0027" "15/08/2013" "04/01/2024" "Tasa Fija" "Cada 91 días" "11/01/2018" "12/04/2018" 16.25
"31" "TIF" "TIF062025" "DPBS00324-0036" "15/08/2013" "19/06/2025" "Tasa Fija" "Cada 91 días" "28/12/2017" "29/03/2018" 15
"32" "VEBONO" "VEBONO062026" "DPBS00324-0045" "15/08/2013" "04/06/2026" "L. T. + 9,75" "Cada 91 días" "14/12/2017" "15/03/2018" 15.13
"33" "VEBONO" "VEBONO022025" "DPBS00760-0016" "29/01/2014" "27/02/2025" "L. T. + 9,75" "Cada 91 días" "08/03/2018" "07/06/2018" 15.12
"34" "VEBONO" "VEBONO022024" "DPBS00760-0025" "29/01/2014" "22/02/2024" "L. T. + 9,50" "Cada 91 días" "01/03/2018" "31/05/2018" 14.87
"35" "TIF" "TIF012026" "DPBS00760-0034" "29/01/2014" "08/01/2026" "Tasa Fija" "Cada 91 días" "18/01/2018" "19/04/2018" 15
"36" "TIF" "TIF052028" "DPBS00760-0043" "29/01/2014" "25/05/2028" "Tasa Fija" "Cada 91 días" "08/03/2018" "07/06/2018" 15.25
"37" "TIF" "TIF032029" "DPBS00760-0052" "29/01/2014" "01/03/2029" "Tasa Fija" "Cada 91 días" "14/12/2017" "15/03/2018" 15.5
"38" "VEBONO" "VEBONO032027" "DPBS00760-0061" "29/01/2014" "11/03/2027" "L. T. + 9,70" "Cada 91 días" "21/12/2017" "22/03/2018" 15.07
"39" "TIF" "TIF112027" "DPBS00760-0070" "29/01/2014" "04/11/2027" "Tasa Fija" "Cada 91 días" "15/02/2018" "17/05/2018" 15
"40" "VEBONO" "VEBONO102028" "DPBS00762-0014" "29/01/2014" "26/10/2028" "L. T. + 9,70" "Cada 91 días" "08/02/2018" "10/05/2018" 15.07
"41" "TIF" "TIF032028" "DPBS01632-0011" "24/02/2015" "30/03/2028" "Tasa Fija" "Cada 91 días" "11/01/2018" "12/04/2018" 15.25
"42" "TIF" "TIF022029" "DPBS01632-0020" "24/02/2015" "15/02/2029" "Tasa Fija" "Cada 91 días" "01/03/2018" "31/05/2018" 15.5
"43" "VEBONO" "VEBONO042028" "DPBS01632-0039" "24/02/2015" "20/04/2028" "L. T. + 9,70" "Cada 91 días" "01/02/2018" "03/05/2018" 15.07
"44" "TIF" "TIF022030" "DPBS01632-0048" "24/02/2015" "28/02/2030" "Tasa Fija" "Cada 91 días" "14/12/2017" "15/03/2018" 15.65
"45" "VEBONO" "VEBONO052029" "DPBS01632-0057" "24/02/2015" "10/05/2029" "L. T. + 9,70" "Cada 91 días" "22/02/2018" "24/05/2018" 15.07
"46" "VEBONO" "VEBONO102029" "DPBS01632-0066" "24/02/2015" "18/10/2029" "L. T. + 9,70" "Cada 91 días" "01/02/2018" "03/05/2018" 15.07
"47" "TIF" "TIF102030" "DPBS01632-0075" "24/02/2015" "10/10/2030" "Tasa Fija" "Cada 91 días" "25/01/2018" "26/04/2018" 15.5
"48" "VEBONO" "VEBONO072030" "DPBS01631-0012" "24/02/2015" "18/07/2030" "L. T. + 9,60" "Cada 91 días" "01/02/2018" "03/05/2018" 14.97
"49" "TIF" "TIF022031" "DPBS01631-0021" "24/02/2015" "06/02/2031" "Tasa Fija" "Cada 91 días" "22/02/2018" "24/05/2018" 15
"50" "VEBONO" "VEBONO032031" "DPBS02207-0016" "28/01/2016" "13/03/2031" "L. T. + 9,60" "Cada 91 días" "28/12/2017" "29/03/2018" 14.97
"51" "TIF" "TIF032031" "DPBS02207-0025" "28/01/2016" "13/03/2031" "Tasa Fija" "Cada 91 días" "28/12/2017" "29/03/2018" 15
"52" "TIF" "TIF032032" "DPBS02207-0034" "28/01/2016" "25/03/2032" "Tasa Fija" "Cada 91 días" "11/01/2018" "12/04/2018" 15.25
"53" "TIF" "TIF022032" "DPBS02207-0043" "28/01/2016" "19/02/2032" "Tasa Fija" "Cada 91 días" "08/03/2018" "07/06/2018" 14.5
"54" "VEBONO" "VEBONO062032" "DPBS02207-0052" "28/01/2016" "17/06/2032" "L. T. + 8,60" "Cada 91 días" "04/01/2018" "05/04/2018" 13.97
"55" "TIF" "TIF052034" "DPBS02207-0061" "28/01/2016" "11/05/2034" "Tasa Fija" "Cada 91 días" "01/03/2018" "31/05/2018" 14
"56" "VEBONO" "VEBONO022034" "DPBS02207-0070" "28/01/2016" "23/02/2034" "L. T. + 8,20" "Cada 91 días" "14/12/2017" "15/03/2018" 13.58
"57" "VEBONO" "VEBONO072033" "DPBS02209-0014" "28/01/2016" "21/07/2033" "L. T. + 8,60" "Cada 91 días" "08/02/2018" "10/05/2018" 13.97
"58" "TIF" "TIF032033" "DPBS02209-0023" "28/01/2016" "03/03/2033" "Tasa Fija" "Cada 91 días" "21/12/2017" "22/03/2018" 14.5
"59" "TIF" "TIF092034" "DPBS02909-0017" "13/06/2017" "21/09/2034" "Tasa Fija" "Cada 91 días" "11/01/2018" "12/04/2018" 14
"60" "VEBONO" "VEBONO032034" "DPBS02909-0026" "13/06/2017" "30/03/2034" "L. T. + 8,20" "Cada 91 días" "18/01/2018" "19/04/2018" 13.57
"61" "TIF" "TIF092035" "DPBS02909-0035" "13/06/2017" "27/09/2035" "Tasa Fija" "Cada 91 días" "18/01/2018" "19/04/2018" 13.75
"62" "VEBONO" "VEBONO032035" "DPBS02909-0044" "13/06/2017" "15/03/2035" "L. T. + 8,10" "Cada 91 días" "04/01/2018" "05/04/2018" 13.47
"63" "VEBONO" "VEBONO122036" "DPBS02909-0053" "13/06/2017" "04/12/2036" "L. T. + 8,00" "Cada 91 días" "28/12/2017" "29/03/2018" 13.37
"64" "TIF" "TIF052036" "DPBS02909-0062" "13/06/2017" "22/05/2036" "Tasa Fija" "Cada 91 días" "14/12/2017" "15/03/2018" 13.5
"65" "VEBONO" "VEBONO082037" "DPBS02909-0071" "13/06/2017" "06/08/2037" "L. T. + 7,80" "Cada 91 días" "01/03/2018" "31/05/2018" 13.17
"66" "TIF" "TIF012037" "DPBS02909-0080" "13/06/2017" "29/01/2037" "Tasa Fija" "Cada 91 días" "22/02/2018" "24/05/2018" 13.25
"67" "VEBONO" "VEBONO032034" "DPBS02911-0012" "13/06/2017" "30/03/2034" "L. T. + 8,20" "Cada 91 días" "18/01/2018" "19/04/2018" 13.57
"68" "TICC" "TICC032019" "DPUS05187-0014" "13/02/2007" "21/03/2019" "Tasa Fija" "Cada 182 días" "21/09/2017" "22/03/2018" 5.25
"69" "Valores Bol." "Valores Bol.062020" "VBBS00620-0015" "29/12/2010" "11/06/2020" "Tasa Fija" "Cada 182 días" "14/12/2017" "14/06/2018" 4.66
"70" "Valores Bol." "Valores Bol.072020" "VBBS00720-0014" "29/12/2010" "22/07/2020" "Tasa Fija" "Cada 182 días" "24/01/2018" "25/07/2018" 4.66
"71" "Valores Bol." "Valores Bol.102020" "VBBS01020-0018" "29/12/2010" "22/10/2020" "Tasa Fija" "Cada 182 días" "26/10/2017" "26/04/2018" 4.66
"72" "Valores Bol." "Valores Bol.022021" "VBBS00221-0018" "27/03/2012" "11/02/2021" "Tasa Fija" "Cada 182 días" "15/02/2018" "16/08/2018" 4.66
"73" "Valores Bol." "Valores Bol.032021" "VBBS00321-0017" "27/03/2012" "23/03/2021" "Tasa Fija" "Cada 182 días" "26/09/2017" "27/03/2018" 4.66
"74" "Valores Bol." "Valores Bol.062021" "VBBS00621-0014" "27/03/2012" "22/06/2021" "Tasa Fija" "Cada 182 días" "26/12/2017" "26/06/2018" 4.66
"75" "Valores Bol." "Valores Bol.092021" "VBBS00921-0011" "27/03/2012" "22/09/2021" "Tasa Fija" "Cada 182 días" "27/09/2017" "28/03/2018" 4.66
"76" "Valores Bol." "Valores Bol.122021" "VBBS01221-0015" "27/03/2012" "17/12/2021" "Tasa Fija" "Cada 182 días" "22/12/2017" "22/06/2018" 4.66
"77" "Valores Bol." "Valores Bol.012022" "VBBS00122-0018" "27/03/2012" "06/01/2022" "Tasa Fija" "Cada 182 días" "11/01/2018" "12/07/2018" 4.66
"78" "Valores Bol." "Valores Bol.012022" "VBBS00122-0027" "27/03/2012" "24/01/2022" "Tasa Fija" "Cada 182 días" "29/01/2018" "30/07/2018" 4.66
"79" "Valores Bol." "Valores Bol.052022" "VBBS00522-0014" "27/03/2012" "13/05/2022" "Tasa Fija" "Cada 182 días" "17/11/2017" "18/05/2018" 4.66
"80" "Valores Bol." "Valores Bol.062022" "VBBS00622-0013" "27/03/2012" "21/06/2022" "Tasa Fija" "Cada 182 días" "26/12/2017" "26/06/2018" 4.66
"81" "Valores Bol." "Valores Bol.092022" "VBBS00922-0010" "27/03/2012" "21/09/2022" "Tasa Fija" "Cada 182 días" "27/09/2017" "28/03/2018" 4.66
"82" "Valores Bol." "Valores Bol.022027" "VBBS00227-0012" "27/03/2012" "19/02/2027" "Tasa Fija" "Cada 182 días" "02/03/2018" "31/08/2018" 6.48
"83" "Valores Bol." "Valores Bol.022027" "VBBS00227-0021" "27/03/2012" "19/02/2027" "Tasa Fija" "Cada 182 días" "02/03/2018" "31/08/2018" 6.48
"84" "Valores Bol." "Valores Bol.042027" "VBBS00427-0010" "27/03/2012" "23/04/2027" "Tasa Fija" "Cada 182 días" "03/11/2017" "04/05/2018" 6.48
"85" "Valores Bol." "Valores Bol.062027" "VBBS00627-0018" "27/03/2012" "18/06/2027" "Tasa Fija" "Cada 182 días" "29/12/2017" "29/06/2018" 6.48
"86" "Valores Bol." "Valores Bol.082027" "VBBS00827-0016" "27/03/2012" "20/08/2027" "Tasa Fija" "Cada 182 días" "02/03/2018" "31/08/2018" 6.48
"87" "Valores Bol." "Valores Bol.082027" "VBBS00827-0025" "27/03/2012" "20/08/2027" "Tasa Fija" "Cada 182 días" "02/03/2018" "31/08/2018" 6.48
"88" "Valores Bol." "Valores Bol.102027" "VBBS01027-0011" "27/03/2012" "22/10/2027" "Tasa Fija" "Cada 182 días" "03/11/2017" "04/05/2018" 6.48
"89" "Valores Bol." "Valores Bol.012028" "VBBS00128-0012" "27/03/2012" "03/01/2028" "Tasa Fija" "Cada 182 días" "15/01/2018" "16/07/2018" 6.48
"90" "Valores Bol." "Valores Bol.022028" "VBBS00228-0011" "27/03/2012" "07/02/2028" "Tasa Fija" "Cada 182 días" "19/02/2018" "20/08/2018" 6.48
"91" "Valores Bol." "Valores Bol.022028" "VBBS00228-0020" "27/03/2012" "28/02/2028" "Tasa Fija" "Cada 182 días" "11/09/2017" "12/03/2018" 6.48
"92" "Valores Bol." "Valores Bol.022028" "VBBS00228-0039" "27/03/2012" "28/02/2028" "Tasa Fija" "Cada 182 días" "11/09/2017" "12/03/2018" 6.48
"93" "Valores Fin." "Valores Fin.072022" "VFBS00722-0010" "26/07/2017" "22/07/2022" "Tasa Fija" "Cada 182 días" "26/01/2018" "27/07/2018" 10
"94" "Valores Fin." "Valores Fin.082022" "VFBS00822-0019" "26/07/2017" "23/08/2022" "Tasa Fija" "Cada 182 días" "27/02/2018" "28/08/2018" 10
"95" "Valores Fin." "Valores Fin.092022" "VFBS00922-0018" "26/07/2017" "22/09/2022" "Tasa Fija" "Cada 182 días" "28/09/2017" "29/03/2018" 10
"96" "Valores Fin." "Valores Fin.102022" "VFBS01022-0014" "26/07/2017" "25/10/2022" "Tasa Fija" "Cada 182 días" "31/10/2017" "01/05/2018" 10
"97" "Valores Fin." "Valores Fin.112022" "VFBS01122-0013" "26/07/2017" "22/11/2022" "Tasa Fija" "Cada 182 días" "28/11/2017" "29/05/2018" 10
"98" "Valores Fin." "Valores Fin.122022" "VFBS01222-0012" "26/07/2017" "22/12/2022" "Tasa Fija" "Cada 182 días" "28/12/2017" "28/06/2018" 10
"99" "Certificado Part. Simon Bolivar" "Certificado Part. Simon Bolivar062023" "CFBS00623-0010" "27/03/2012" "30/06/2023" "Tasa Fija" "Cada 182 días" "05/01/2018" "06/07/2018" 6.05
"100" "Certificado Part. Simon Bolivar" "Certificado Part. Simon Bolivar062023" "CFBS00623-0029" "27/03/2012" "30/06/2023" "Tasa Fija" "Cada 182 días" "05/01/2018" "06/07/2018" 6.05
"101" "Certificado Part. Simon Bolivar" "Certificado Part. Simon Bolivar072024" "CFBS00724-0018" "27/03/2012" "29/07/2024" "Tasa Fija" "Cada 182 días" "05/02/2018" "06/08/2018" 6.05
"102" "Certificado Part. Simon Bolivar" "Certificado Part. Simon Bolivar072024" "CFBS00724-0027" "27/03/2012" "29/07/2024" "Tasa Fija" "Cada 182 días" "05/02/2018" "06/08/2018" 6.05
"103" "Certificado Part. Simon Bolivar" "Certificado Part. Simon Bolivar082024" "CFBS00824-0017" "27/03/2012" "09/08/2024" "Tasa Fija" "Cada 182 días" "16/02/2018" "17/08/2018" 4.66
"104" "Certificado Part. Simon Bolivar" "Certificado Part. Simon Bolivar092024" "CFBS00924-0016" "27/03/2012" "23/09/2024" "Tasa Fija" "Cada 182 días" "02/10/2017" "02/04/2018" 4.66
"105" "Certificado Part. Simon Bolivar" "Certificado Part. Simon Bolivar112024" "CFBS01124-0011" "27/03/2012" "11/11/2024" "Tasa Fija" "Cada 182 días" "20/11/2017" "21/05/2018" 4.66
"106" "Certificado Part. Simon Bolivar" "Certificado Part. Simon Bolivar112024" "CFBS01124-0020" "27/03/2012" "11/11/2024" "Tasa Fija" "Cada 182 días" "20/11/2017" "21/05/2018" 4.66
"107" "Certificado Part. Bandes" "Certificado Part. Bandes102018" "CBBS01018-0013" "22/09/2017" "08/10/2018" "Tasa Fija" "Cada 364 días" "09/10/2017" "08/10/2018" 4
