"Tipo Instrumento" "Nombre" "Sicet" "F.Emision" "F.Vencimiento" "Tipo tasa" "Inicio" "Pago cupon 1" "Pago cupon 2" "Cupon"
"54" "TIF" "TIF032033" "DPBS02209-0023" "28/01/2016" "03/03/2033" "Tasa Fija" "Cada 91 días" "21/06/2018" "20/09/2018" 14.5
"55" "TIF" "TIF092034" "DPBS02909-0017" "13/06/2017" "21/09/2034" "Tasa Fija" "Cada 91 días" "12/04/2018" "12/07/2018" 14
"56" "VEBONO" "VEBONO032034" "DPBS02909-0026" "13/06/2017" "30/03/2034" "L. T. + 8,20" "Cada 91 días" "19/04/2018" "19/07/2018" 13.57
"57" "TIF" "TIF092035" "DPBS02909-0035" "13/06/2017" "27/09/2035" "Tasa Fija" "Cada 91 días" "19/04/2018" "19/07/2018" 13.75
"58" "VEBONO" "VEBONO032035" "DPBS02909-0044" "13/06/2017" "15/03/2035" "L. T. + 8,10" "Cada 91 días" "05/04/2018" "05/07/2018" 13.47
"59" "VEBONO" "VEBONO122036" "DPBS02909-0053" "13/06/2017" "04/12/2036" "L. T. + 8,00" "Cada 91 días" "28/06/2018" "27/09/2018" 13.38
"60" "TIF" "TIF052036" "DPBS02909-0062" "13/06/2017" "22/05/2036" "Tasa Fija" "Cada 91 días" "14/06/2018" "13/09/2018" 13.5
"61" "VEBONO" "VEBONO082037" "DPBS02909-0071" "13/06/2017" "06/08/2037" "L. T. + 7,80" "Cada 91 días" "31/05/2018" "30/08/2018" 13.17
"62" "TIF" "TIF012037" "DPBS02909-0080" "13/06/2017" "29/01/2037" "Tasa Fija" "Cada 91 días" "24/05/2018" "23/08/2018" 13.25
"63" "VEBONO" "VEBONO032034" "DPBS02911-0012" "13/06/2017" "30/03/2034" "L. T. + 8,20" "Cada 91 días" "19/04/2018" "19/07/2018" 13.57
"64" "VEBONO" "VEBONO052028" "DPBS03454-0019" "07/06/2018" "25/05/2028" "L. T. + 2,70" "Cada 91 días" "21/06/2018" "06/09/2018" 8.07
"65" "TIF" "TIF082028" "DPBS03454-0028" "07/06/2018" "10/08/2028" "Tasa Fija" "Cada 91 días" "21/06/2018" "23/08/2018" 8
"66" "VEBONO" "VEBONO092029" "DPBS03454-0037" "07/06/2018" "13/09/2029" "L. T. + 2,85" "Cada 91 días" "28/06/2018" "27/09/2018" 8.23
"67" "TIF" "TIF112029" "DPBS03456-0017" "07/06/2018" "01/11/2029" "Tasa Fija" "Cada 91 días" "28/06/2018" "16/08/2018" 8.25
"68" "TICC" "TICC032019" "DPUS05187-0014" "13/02/2007" "21/03/2019" "Tasa Fija" "Cada 182 días" "22/03/2018" "20/09/2018" 5.25
"69" "Valores Fin." "Valores Fin.072022" "VFBS00722-0010" "26/07/2017" "22/07/2022" "Tasa Fija" "Cada 182 días" "26/01/2018" "27/07/2018" 10
"70" "Valores Fin." "Valores Fin.082022" "VFBS00822-0019" "26/07/2017" "23/08/2022" "Tasa Fija" "Cada 182 días" "27/02/2018" "28/08/2018" 10
"71" "Valores Fin." "Valores Fin.092022" "VFBS00922-0018" "26/07/2017" "22/09/2022" "Tasa Fija" "Cada 182 días" "29/03/2018" "27/09/2018" 10
"72" "Valores Fin." "Valores Fin.102022" "VFBS01022-0014" "26/07/2017" "25/10/2022" "Tasa Fija" "Cada 182 días" "01/05/2018" "30/10/2018" 10
"73" "Valores Fin." "Valores Fin.112022" "VFBS01122-0013" "26/07/2017" "22/11/2022" "Tasa Fija" "Cada 182 días" "29/05/2018" "27/11/2018" 10
"74" "Valores Fin." "Valores Fin.122022" "VFBS01222-0012" "26/07/2017" "22/12/2022" "Tasa Fija" "Cada 182 días" "28/06/2018" "27/12/2018" 10
"75" "Valores Fin." "Valores Fin.032024" "VFBS00324-0012" "20/03/2018" "26/03/2024" "Tasa Fija" "Cada 182 días" "03/04/2018" "02/10/2018" 10
"76" "Valores Fin." "Valores Fin.042024" "VFBS00424-0011" "20/03/2018" "25/04/2024" "Tasa Fija" "Cada 182 días" "03/05/2018" "01/11/2018" 10
"77" "Valores Fin." "Valores Fin.052024" "VFBS00524-0010" "20/03/2018" "29/05/2024" "Tasa Fija" "Cada 182 días" "06/06/2018" "05/12/2018" 10
