"Tipo Instrumento" "Nombre" "Fecha op" "Fuente" "Sicet" "F.Vencimiento" "Plazo" "Op" "Monto" "Pre min" "Pre max" "Pre prom" "Cupon" "Frecuencia" "Rendimiento"
"12" "TIF" "TIF042019" 2018-01-22 "022 BCV" "DPBS08772-0026" 2019-04-18 451 1 6.4e+07 119.7 119.7 119.7 16 4 0.0882022781887315
"13" "TIF" "TIF082018" 2018-01-23 "022 BCV" "DPBS08773-0034" 2018-08-23 212 1 10492000 107.8338 107.8338 107.8338 16 4 2.34535581012318
"14" "TIF" "TIF042019" 2018-01-23 "022 BCV" "DPBS08772-0026" 2019-04-18 450 2 1.28e+08 119.7156 119.7469 119.73125 16 4 0.033643439168074
"15" "VEBONO" "VEBONO042019" 2018-01-23 "022 BCV" "DPBS08773-0025" 2019-04-18 450 2 701348398 117.2156 117.2469 117.23125 14.12 4 0.163191494930182
"16" "VEBONO" "VEBONO012021" 2018-01-23 "022 BCV" "DPBS08772-0017" 2021-01-29 1102 1 38470000 125 125 125 14.8 4 5.69174528733019
"17" "VEBONO" "VEBONO012021" 2018-01-24 "022 BCV" "DPBS08772-0017" 2021-01-29 1101 1 1e+07 125.0156 125.0156 125.0156 14.8 4 5.68013047914055
"18" "TIF" "TIF082018" 2018-01-25 "022 BCV" "DPBS08773-0034" 2018-08-23 210 1 10492000 107.8494 107.8494 107.8494 16 4 2.19731020534146
"19" "VEBONO" "VEBONO012021" 2018-01-25 "022 BCV" "DPBS08772-0017" 2021-01-29 1100 1 28470000 125.0156 125.0156 125.0156 14.8 4 5.67346081930253
"20" "VEBONO" "VEBONO052029" 2018-01-25 "022 BCV" "DPBS01632-0057" 2029-05-10 4123 1 1.71e+08 115 115 115 15.16 4 12.6331512554188
"21" "VEBONO" "VEBONO032034" 2018-01-25 "022 BCV" "DPBS02911-0012" 2034-03-30 5908 1 5e+08 116 116 116 13.57 4 11.39230514582
"22" "VEBONO" "VEBONO032034" 2018-01-25 "022 BCV" "DPBS02909-0026" 2034-03-30 5908 1 204570000 116 116 116 13.57 4 11.39230514582
"23" "VEBONO" "VEBONO122036" 2018-01-25 "022 BCV" "DPBS02909-0053" 2036-12-04 6888 1 656870000 116 116 116 13.37 4 11.3075859181412
"24" "TIF" "TIF012037" 2018-01-25 "022 BCV" "DPBS02909-0080" 2037-01-29 6944 1 2.5e+08 112 112 112 13.25 4 11.6632199330166
"25" "VEBONO" "VEBONO082037" 2018-01-25 "022 BCV" "DPBS02909-0071" 2037-08-06 7133 2 372250000 112 120 114.621893888516 13.18 4 11.305660473626
"26" "Valores Fin." "Valores Fin.122022" 2018-01-25 "022 BCV" "VFBS01222-0012" 2022-12-22 1792 1 3e+09 103 103 103 10 2 9.20837749790184
"27" "VEBONO" "VEBONO052029" 2018-01-26 "022 BCV" "DPBS01632-0057" 2029-05-10 4122 1 1.71e+08 115.0313 115.0313 115.0313 15.16 4 12.6282402966159
"28" "VEBONO" "VEBONO032034" 2018-01-26 "022 BCV" "DPBS02911-0012" 2034-03-30 5907 1 5e+08 116.0313 116.0313 116.0313 13.57 4 11.388376391958
"29" "VEBONO" "VEBONO032034" 2018-01-26 "022 BCV" "DPBS02909-0026" 2034-03-30 5907 1 204570000 116.0313 116.0313 116.0313 13.57 4 11.388376391958
"30" "TIF" "TIF092034" 2018-01-26 "022 BCV" "DPBS02909-0017" 2034-09-21 6082 1 154131000 116.5 116.5 116.5 14 4 11.7320439713364
"31" "TIF" "TIF052036" 2018-01-26 "022 BCV" "DPBS02909-0062" 2036-05-22 6691 1 7.5e+07 116.5 116.5 116.5 13.5 4 11.3409515576863
"32" "VEBONO" "VEBONO122036" 2018-01-26 "022 BCV" "DPBS02909-0053" 2036-12-04 6887 2 731870000 116.0313 116.5 116.079331071092 13.37 4 11.2984738744641
"33" "TIF" "TIF012037" 2018-01-26 "022 BCV" "DPBS02909-0080" 2037-01-29 6943 2 5e+08 112.0156 112.0469 112.03125 13.25 4 11.6594841569353
"34" "VEBONO" "VEBONO082037" 2018-01-26 "022 BCV" "DPBS02909-0071" 2037-08-06 7132 3 622500000 112.0156 120.0313 113.59913128514 13.18 4 11.4228972240903
"35" "Valores Fin." "Valores Fin.122022" 2018-01-26 "022 BCV" "VFBS01222-0012" 2022-12-22 1791 2 6e+09 103 103.0313 103.01565 10 2 9.20397039611824
"36" "TIF" "TIF092034" 2018-01-29 "022 BCV" "DPBS02909-0017" 2034-09-21 6079 2 308262000 116.5156 116.5313 116.52345 14 4 11.7288309848426
"37" "TIF" "TIF092035" 2018-01-29 "022 BCV" "DPBS02909-0035" 2035-09-27 6450 1 3e+09 116 116 116 13.75 4 11.6074061671799
"38" "TIF" "TIF052036" 2018-01-29 "022 BCV" "DPBS02909-0062" 2036-05-22 6688 2 1.5e+08 116.5156 116.5313 116.52345 13.5 4 11.3381227534842
"39" "VEBONO" "VEBONO122036" 2018-01-29 "022 BCV" "DPBS02909-0053" 2036-12-04 6884 2 1.5e+08 116.5156 116.5313 116.52345 13.37 4 11.2478473899047
"40" "TIF" "TIF012037" 2018-01-29 "022 BCV" "DPBS02909-0080" 2037-01-29 6940 1 1.25e+08 120 120 120 13.25 4 10.7667905854651
"41" "Valores Fin." "Valores Fin.102022" 2018-01-29 "022 BCV" "VFBS01022-0014" 2022-10-25 1730 1 2e+08 106.5313 106.5313 106.5313 10 2 8.28458200363151
"42" "TIF" "TIF032031" 2018-01-31 "022 BCV" "DPBS02207-0025" 2031-03-13 4789 2 340248000 131.0782 131.1095 131.09385 15 4 10.5856707361573
"43" "TIF" "TIF032032" 2018-01-31 "022 BCV" "DPBS02207-0034" 2032-03-25 5167 2 351182000 127.2631 127.2944 127.27875 15.25 4 11.3518516303702
"44" "TIF" "TIF032033" 2018-01-31 "022 BCV" "DPBS02209-0023" 2033-03-03 5510 2 1352962000 127.5469 127.5782 127.56255 14.5 4 10.7800951417938
"45" "TIF" "TIF092034" 2018-01-31 "022 BCV" "DPBS02909-0017" 2034-09-21 6077 2 925084000 119.0081 119.0394 119.02375 14 4 11.4300051996551
"46" "VEBONO" "VEBONO122036" 2018-01-31 "022 BCV" "DPBS02909-0053" 2036-12-04 6882 3 1627522000 118.7942 119.2 118.969071239037 13.37 4 10.9754980865429
"47" "TIF" "TIF012037" 2018-01-31 "022 BCV" "DPBS02909-0080" 2037-01-29 6938 1 1.25e+08 119 119 119 13.25 4 10.8742355792616
"48" "VEBONO" "VEBONO082037" 2018-01-31 "022 BCV" "DPBS02909-0071" 2037-08-06 7127 1 250251000 119 119 119 13.18 4 10.8222017151842
"49" "Valores Fin." "Valores Fin.082022" 2018-01-31 "022 BCV" "VFBS00822-0019" 2022-08-23 1665 3 3e+07 106.5313 106.5939 106.5626 10 2 8.21404034915743
"50" "Valores Fin." "Valores Fin.102022" 2018-01-31 "022 BCV" "VFBS01022-0014" 2022-10-25 1728 2 7.132e+09 103.5156 106.5939 103.60192361189 10 2 9.0261947446586
"51" "Valores Fin." "Valores Fin.112022" 2018-01-31 "022 BCV" "VFBS01122-0013" 2022-11-22 1756 3 3e+07 106.5235 106.5861 106.5548 10 2 8.30547755135882
"52" "Valores Fin." "Valores Fin.122022" 2018-01-31 "022 BCV" "VFBS01222-0012" 2022-12-22 1786 2 3e+07 105.4535 105.4847 105.4691 10 2 8.58923878645479
"53" "VEBONO" "VEBONO022022" 2018-02-01 "022 BCV" "DPBS09345-0023" 2022-02-10 1470 1 2.39e+09 123.9338 123.9338 123.9338 14.46 4 7.49277290516561
"54" "VEBONO" "VEBONO012023" 2018-02-01 "022 BCV" "DPBS09345-0032" 2023-01-19 1813 1 2e+09 128.9396 128.9396 128.9396 14.62 4 7.57067069763471
"55" "VEBONO" "VEBONO062032" 2018-02-01 "022 BCV" "DPBS02207-0052" 2032-06-17 5250 1 1146049153 120.2042 120.2042 120.2042 13.97 4 11.1340143778905
"56" "TIF" "TIF052036" 2018-02-01 "022 BCV" "DPBS02909-0062" 2036-05-22 6685 1 689474000 119.0469 119.0469 119.0469 13.5 4 11.0531088365677
"57" "VEBONO" "VEBONO122036" 2018-02-01 "022 BCV" "DPBS02909-0053" 2036-12-04 6881 2 1328392000 119.2156 119.2469 119.23125 13.37 4 10.9467744041609
"58" "TIF" "TIF012037" 2018-02-01 "022 BCV" "DPBS02909-0080" 2037-01-29 6937 2 2.5e+08 119 119.0156 119.0078 13.25 4 10.8732471022455
"59" "VEBONO" "VEBONO082037" 2018-02-01 "022 BCV" "DPBS02909-0071" 2037-08-06 7126 2 500502000 119 119.0156 119.0078 13.18 4 10.8213264417015
"60" "VEBONO" "VEBONO022022" 2018-02-02 "022 BCV" "DPBS09345-0023" 2022-02-10 1469 1 2.39e+09 123.9651 123.9651 123.9651 14.46 4 7.48125529547279
"61" "VEBONO" "VEBONO012023" 2018-02-02 "022 BCV" "DPBS09345-0032" 2023-01-19 1812 1 2e+09 128.9709 128.9709 128.9709 14.62 4 7.56131280714154
"62" "VEBONO" "VEBONO062032" 2018-02-02 "022 BCV" "DPBS02207-0052" 2032-06-17 5249 1 1146049153 120.2355 120.2355 120.2355 13.97 4 11.1300093205037
"63" "LETRA" "LTB022018" 2018-02-05 "022 BCV" "LTBS00218-0036" 2018-02-21 16 1 5.5e+07 99.8 99.8 99.8 0 0 4.5090180360724
"64" "LETRA" "LTB082018" 2018-02-05 "022 BCV" "LTBS00818-0012" 2018-08-15 191 1 1.05e+08 97.5 97.5 97.5 0 0 4.83286347160691
"65" "LETRA" "LTB022018" 2018-02-06 "022 BCV" "LTBS00218-0036" 2018-02-21 15 1 5.5e+07 99.8313 99.8313 99.8313 0 0 4.05564186783121
"66" "LETRA" "LTB082018" 2018-02-06 "022 BCV" "LTBS00818-0012" 2018-08-15 190 1 1.05e+08 97.5313 97.5313 97.5313 0 0 4.79593406640255
"67" "LETRA" "LTB032018" 2018-02-07 "022 BCV" "LTBS00318-0026" 2018-03-07 28 2 108724000 99.544 99.6065 99.57525 0 0 5.48436627432174
"68" "VEBONO" "VEBONO022024" 2018-02-08 "022 BCV" "DPBS00760-0025" 2024-02-22 2205 1 5000 119.5 119.5 119.5 14.92 4 10.4988830759281
"69" "VEBONO" "VEBONO012025" 2018-02-08 "022 BCV" "DPBS00324-0018" 2025-01-09 2527 1 23000 119.5 119.5 119.5 15.12 4 11.0483018329614
"70" "VEBONO" "VEBONO032031" 2018-02-08 "022 BCV" "DPBS02207-0016" 2031-03-13 4781 1 1e+06 119.5 119.5 119.5 14.97 4 11.9963952797899
"71" "TIF" "TIF052036" 2018-02-08 "022 BCV" "DPBS02909-0062" 2036-05-22 6678 1 68500000 119.5 119.5 119.5 13.5 4 11.0025104046112
"72" "VEBONO" "VEBONO122036" 2018-02-08 "022 BCV" "DPBS02909-0053" 2036-12-04 6874 1 4.6e+07 119.5 119.5 119.5 13.37 4 10.9169894266697
"73" "TIF" "TIF012037" 2018-02-08 "022 BCV" "DPBS02909-0080" 2037-01-29 6930 1 68380000 119.5 119.5 119.5 13.25 4 10.8190609010409
"74" "VEBONO" "VEBONO082037" 2018-02-08 "022 BCV" "DPBS02909-0071" 2037-08-06 7119 1 5e+07 119.5 119.5 119.5 13.18 4 10.779882450769
"75" "Valores Fin." "Valores Fin.102022" 2018-02-09 "022 BCV" "VFBS01022-0014" 2022-10-25 1719 1 1e+09 105.6 105.6 105.6 10 2 8.51043898181354
"76" "Valores Fin." "Valores Fin.122022" 2018-02-09 "022 BCV" "VFBS01222-0012" 2022-12-22 1777 1 1e+09 106.5 106.5 106.5 10 2 8.32983881009621
"77" "TIF" "TIF022032" 2018-02-15 "022 BCV" "DPBS02207-0043" 2032-02-19 5117 1 2.5e+07 137.5 137.5 137.5 14.5 4 9.59475696039496
"78" "Valores Fin." "Valores Fin.102022" 2018-02-16 "022 BCV" "VFBS01022-0014" 2022-10-25 1712 2 2e+09 105.6156 105.6312 105.6234 10 2 8.49983488243038
"79" "Valores Fin." "Valores Fin.122022" 2018-02-16 "022 BCV" "VFBS01222-0012" 2022-12-22 1770 2 2e+09 106.5156 106.5313 106.52345 10 2 8.31843481544956
"80" "LETRA" "LTB112018" 2018-02-19 "022 BCV" "LTBS01118-0016" 2018-11-21 275 1 41761000 95.5047 95.5047 95.5047 0 0 6.16174530011233
"81" "LETRA" "LTB032018" 2018-02-20 "022 BCV" "LTBS00318-0026" 2018-03-07 15 1 168192000 99.5 99.5 99.5 0 0 12.0603015075375
"82" "LETRA" "LTB112018" 2018-02-20 "022 BCV" "LTBS01118-0016" 2018-11-21 274 2 83522000 95.5203 99 97.26015 0 0 3.70121053659493
"83" "Valores Fin." "Valores Fin.122022" 2018-02-20 "022 BCV" "VFBS01222-0012" 2022-12-22 1766 1 3e+09 103.5 103.5 103.5 10 2 9.06966106554936
"84" "VEBONO" "VEBONO062032" 2018-02-21 "022 BCV" "DPBS02207-0052" 2032-06-17 5230 1 1e+08 137.4 137.4 137.4 13.97 4 9.234002721624
"85" "TIF" "TIF012037" 2018-02-21 "022 BCV" "DPBS02909-0080" 2037-01-29 6917 1 2.5e+08 117 117 117 13.25 4 11.0915853819157
"86" "LETRA" "LTB032018" 2018-02-21 "022 BCV" "LTBS00318-0026" 2018-03-07 14 1 168192000 99.5313 99.5313 99.5313 0 0 12.1090407884612
"87" "LETRA" "LTB032018" 2018-02-21 "022 BCV" "LTBS00318-0035" 2018-03-21 28 1 53846000 99.9456 99.9456 99.9456 0 0 0.699809267670088
"88" "LETRA" "LTB112018" 2018-02-21 "022 BCV" "LTBS01118-0016" 2018-11-21 273 2 83522000 95.5515999999999 99.0313 97.29145 0 0 3.67114919729769
"89" "TIF" "TIF022032" 2018-02-22 "022 BCV" "DPBS02207-0043" 2032-02-19 5110 1 494136000 128 128 128 14.5 4 10.6361684294235
"90" "TIF" "TIF052036" 2018-02-22 "022 BCV" "DPBS02909-0062" 2036-05-22 6664 1 384228000 120 120 120 13.5 4 10.9588915400662
"91" "TIF" "TIF012037" 2018-02-22 "022 BCV" "DPBS02909-0080" 2037-01-29 6916 2 5e+08 117.0156 117.0313 117.02345 13.25 4 11.0888593247894
"92" "TIF" "TIF022032" 2018-02-23 "022 BCV" "DPBS02207-0043" 2032-02-19 5109 1 494136000 128.031299999999 128.0313 128.031299999999 14.5 4 10.6322479247956
"93" "TIF" "TIF052036" 2018-02-23 "022 BCV" "DPBS02909-0062" 2036-05-22 6663 1 384228000 120.0156 120.0156 120.0156 13.5 4 10.9570183641486
"94" "VEBONO" "VEBONO012020" 2018-02-26 "022 BCV" "DPBS08771-0018" 2020-01-02 675 1 143142750 120.8144 120.8144 120.8144 14.37 4 2.7706353302908
"95" "VEBONO" "VEBONO022024" 2018-02-26 "022 BCV" "DPBS00760-0025" 2024-02-22 2187 1 1e+08 128.49 128.49 128.49 14.92 4 8.76168212938833
"96" "TIF" "TIF022032" 2018-02-26 "022 BCV" "DPBS02207-0043" 2032-02-19 5106 1 7e+07 125 125 125 14.5 4 10.9849171976804
"97" "VEBONO" "VEBONO032035" 2018-02-26 "022 BCV" "DPBS02909-0044" 2035-03-15 6226 1 2466667000 115.65 115.65 115.65 13.47 4 11.3795840548928
"98" "TIF" "TIF052036" 2018-02-26 "022 BCV" "DPBS02909-0062" 2036-05-22 6660 1 7.5e+07 119.0157 119.0157 119.0157 13.5 4 11.0670959300167
"99" "VEBONO" "VEBONO012020" 2018-02-27 "022 BCV" "DPBS08771-0018" 2020-01-02 674 1 143142750 120.83 120.83 120.83 14.37 4 2.74768826813503
"100" "VEBONO" "VEBONO022024" 2018-02-27 "022 BCV" "DPBS00760-0025" 2024-02-22 2186 2 2e+08 128.505599999999 128.5369 128.52125 14.92 4 8.75397900370052
"101" "VEBONO" "VEBONO032027" 2018-02-27 "022 BCV" "DPBS00760-0061" 2027-03-11 3299 1 5e+07 129.9531 129.9531 129.9531 15.07 4 9.99541071573038
"102" "VEBONO" "VEBONO052029" 2018-02-27 "022 BCV" "DPBS01632-0057" 2029-05-10 4090 1 5e+07 129.9 129.9 129.9 15.07 4 10.5031770252385
"103" "TIF" "TIF022032" 2018-02-27 "022 BCV" "DPBS02207-0043" 2032-02-19 5105 1 7e+07 125.0156 125.0156 125.0156 14.5 4 10.9827599103198
"104" "TIF" "TIF052036" 2018-02-27 "022 BCV" "DPBS02909-0062" 2036-05-22 6659 1 7.5e+07 119.047 119.047 119.047 13.5 4 11.0634614237453
"105" "VEBONO" "VEBONO122036" 2018-02-27 "022 BCV" "DPBS02909-0053" 2036-12-04 6855 1 277724000 118.9 118.9 118.9 13.37 4 10.9814127185156
"106" "Valores Fin." "Valores Fin.092022" 2018-02-27 "022 BCV" "VFBS00922-0018" 2022-09-22 1668 1 3e+09 105.6 105.6 105.6 10 2 8.4840061645489
"107" "Valores Fin." "Valores Fin.112022" 2018-02-27 "022 BCV" "VFBS01122-0013" 2022-11-22 1729 1 1e+07 106.5861 106.5861 106.5861 10 2 8.27627487772742
"108" "Valores Fin." "Valores Fin.122022" 2018-02-27 "022 BCV" "VFBS01222-0012" 2022-12-22 1759 2 5.647e+09 105.6 106.5 106.276872675757 10 2 8.37027696765942
"109" "VEBONO" "VEBONO032027" 2018-02-28 "022 BCV" "DPBS00760-0061" 2027-03-11 3298 2 1e+08 129.9687 130 129.98435 15.07 4 9.99023559881858
"110" "VEBONO" "VEBONO052029" 2018-02-28 "022 BCV" "DPBS01632-0057" 2029-05-10 4089 2 1e+08 129.9156 129.9469 129.93125 15.07 4 10.4986836634842
"111" "TIF" "TIF022032" 2018-02-28 "022 BCV" "DPBS02207-0043" 2032-02-19 5104 1 7e+07 125.0469 125.0469 125.0469 14.5 4 10.9787394993279
"112" "TIF" "TIF052036" 2018-02-28 "022 BCV" "DPBS02909-0062" 2036-05-22 6658 1 7.5e+07 119.0782 119.0782 119.0782 13.5 4 11.059840457463
"113" "VEBONO" "VEBONO082037" 2018-02-28 "022 BCV" "DPBS02909-0071" 2037-08-06 7099 1 250250000 117 117 117 13.18 4 11.0485716320268
"114" "Valores Fin." "Valores Fin.092022" 2018-02-28 "022 BCV" "VFBS00922-0018" 2022-09-22 1667 1 3e+09 105.6156 105.6156 105.6156 10 2 8.47933246386381
"115" "Valores Fin." "Valores Fin.112022" 2018-02-28 "022 BCV" "VFBS01122-0013" 2022-11-22 1728 2 2e+07 106.6017 106.6173 106.6095 10 2 8.26965285355259
"116" "Valores Fin." "Valores Fin.122022" 2018-02-28 "022 BCV" "VFBS01222-0012" 2022-12-22 1758 3 9.894e+09 105.6156 106.5156 106.381553790176 10 2 8.34369377107791
"117" "VEBONO" "VEBONO122036" 2018-03-01 "022 BCV" "DPBS02909-0053" 2036-12-04 6853 1 277724000 118.9313 118.9313 118.9313 13.37 4 10.9778919051207
"118" "VEBONO" "VEBONO082037" 2018-03-01 "022 BCV" "DPBS02909-0071" 2037-08-06 7098 2 500500000 117.0156 117.0469 117.03125 13.17 4 11.0362310673201
"119" "LETRA" "LTB032018" 2018-03-01 "022 BCV" "LTBS00318-0017" 2018-03-14 13 1 1.05e+08 99.95 99.95 99.95 0 0 1.38530803863491
"120" "LETRA" "LTB092018" 2018-03-01 "022 BCV" "LTBS00918-0011" 2018-09-19 202 1 1.05e+08 98.7 98.7 98.7 0 0 2.34734719672576
"121" "LETRA" "LTB032018" 2018-03-02 "022 BCV" "LTBS00318-0017" 2018-03-14 12 1 1.05e+08 99.9656 99.9656 99.9656 0 0 1.03235513016497
"122" "LETRA" "LTB092018" 2018-03-02 "022 BCV" "LTBS00918-0011" 2018-09-19 201 1 1.05e+08 98.7156 98.7156 98.7156 0 0 2.33034891187187
"123" "TICC" "TICC032019" 2018-03-02 "022 BCV" "DPUS05187-0014" 2019-03-21 384 1 26000 102.7813 102.7813 102.7813 5.25 2 2.54026332693225
"124" "TIF" "TIF042018" 2018-03-05 "022 BCV" "DPBS08773-0016" 2018-04-12 38 1 3e+06 101.5 101.5 101.5 18 4 3.64022448050963
"125" "VEBONO" "VEBONO022022" 2018-03-05 "022 BCV" "DPBS09345-0023" 2022-02-10 1438 1 3400000 123 123 123 14.37 4 7.5646875684928
"126" "VEBONO" "VEBONO012023" 2018-03-05 "022 BCV" "DPBS09345-0032" 2023-01-19 1781 1 7600000 128 128 128 14.62 4 7.67810093435228
"127" "VEBONO" "VEBONO052029" 2018-03-05 "022 BCV" "DPBS01632-0057" 2029-05-10 4084 1 12353100 133.5 133.5 133.5 15.07 4 10.0526903414772
"128" "VEBONO" "VEBONO032031" 2018-03-05 "022 BCV" "DPBS02207-0016" 2031-03-13 4756 1 18637000 129.25 129.25 129.25 14.97 4 10.7665549037995
"129" "TIF" "TIF012037" 2018-03-06 "022 BCV" "DPBS02909-0080" 2037-01-29 6904 1 1.25e+08 120 120 120 13.25 4 10.7621522216578
"130" "VEBONO" "VEBONO082037" 2018-03-06 "022 BCV" "DPBS02909-0071" 2037-08-06 7093 1 125125000 120 120 120 13.17 4 10.7149461126991
"131" "TIF" "TIF012037" 2018-03-07 "022 BCV" "DPBS02909-0080" 2037-01-29 6903 1 1.25e+08 120.0313 120.0313 120.0313 13.25 4 10.7586905932558
"132" "VEBONO" "VEBONO082037" 2018-03-07 "022 BCV" "DPBS02909-0071" 2037-08-06 7092 1 125125000 120.0313 120.0313 120.0313 13.17 4 10.7115234937684
"133" "TIF" "TIF022021" 2018-03-08 "022 BCV" "DPBS09345-0014" 2021-02-04 1064 1 1.5e+08 133.25 133.25 133.25 16.5 4 4.29263443903078
"134" "LETRA" "LTB042018" 2018-03-08 "022 BCV" "LTBS00418-0025" 2018-04-04 27 3 279999000 99.3385 99.4011 99.3698 0 0 8.45595610202151
"135" "LETRA" "LTB062018" 2018-03-08 "022 BCV" "LTBS00618-0014" 2018-06-13 97 3 3.15e+08 98.2769 98.3395 98.3082 0 0 6.3868989166974
"136" "LETRA" "LTB032018" 2018-03-12 "022 BCV" "LTBS00318-0053" 2018-03-28 16 1 1.05e+08 99.8 99.8 99.8 0 0 4.5090180360724
"137" "LETRA" "LTB062018" 2018-03-12 "022 BCV" "LTBS00618-0014" 2018-06-13 93 1 1.05e+08 98.5 98.5 98.5 0 0 5.89487473391188
"138" "TICC" "TICC032019" 2018-03-12 "022 BCV" "DPUS05187-0014" 2019-03-21 374 1 6e+05 102 102 102 5.25 2 3.23493361201104
"139" "VEBONO" "VEBONO082037" 2018-03-13 "022 BCV" "DPBS02909-0071" 2037-08-06 7086 1 1.55e+08 120 120 120 13.17 4 10.7142050820428
"140" "LETRA" "LTB032018" 2018-03-13 "022 BCV" "LTBS00318-0053" 2018-03-28 15 1 1.05e+08 99.8313 99.8313 99.8313 0 0 4.05564186783121
"141" "LETRA" "LTB062018" 2018-03-13 "022 BCV" "LTBS00618-0014" 2018-06-13 92 1 1.05e+08 98.5313 98.5313 98.5313 0 0 5.83275259386785
"142" "VEBONO" "VEBONO032035" 2018-03-14 "022 BCV" "DPBS02909-0044" 2035-03-15 6210 1 5e+08 123 123 123 13.47 4 10.5462723547435
"143" "TIF" "TIF092035" 2018-03-14 "022 BCV" "DPBS02909-0035" 2035-09-27 6406 1 5e+08 123 123 123 13.75 4 10.8101890606468
"144" "VEBONO" "VEBONO122036" 2018-03-14 "022 BCV" "DPBS02909-0053" 2036-12-04 6840 1 1e+09 124 124 124 13.37 4 10.4312175245754
"145" "VEBONO" "VEBONO082037" 2018-03-14 "022 BCV" "DPBS02909-0071" 2037-08-06 7085 1 1.55e+08 120.0313 120.0313 120.0313 13.17 4 10.7107892105848
"146" "TIF" "TIF042019" 2018-03-15 "022 BCV" "DPBS08772-0026" 2019-04-18 399 1 2.1e+07 117.5 117.5 117.5 16 4 0.00915810316231003
"147" "TIF" "TIF022021" 2018-03-15 "022 BCV" "DPBS09345-0014" 2021-02-04 1057 1 5.8e+07 128.29 128.29 128.29 16.5 4 5.80678514442639
"148" "VEBONO" "VEBONO032031" 2018-03-15 "022 BCV" "DPBS02207-0016" 2031-03-13 4746 1 116614000 129.61 129.61 129.61 14.97 4 10.711845359947
"149" "VEBONO" "VEBONO032034" 2018-03-15 "022 BCV" "DPBS02911-0012" 2034-03-30 5859 1 145349000 124 124 124 13.57 4 10.4657510788326
"150" "TIF" "TIF092034" 2018-03-15 "022 BCV" "DPBS02909-0017" 2034-09-21 6034 1 154131000 124.5 124.5 124.5 14 4 10.8032745017034
"151" "TIF" "TIF052036" 2018-03-15 "022 BCV" "DPBS02909-0062" 2036-05-22 6643 1 689474000 123 123 123 13.5 4 10.6324721774454
"152" "TIF" "TIF012037" 2018-03-15 "022 BCV" "DPBS02909-0080" 2037-01-29 6895 1 2.5e+08 119.25 119.25 119.25 13.25 4 10.8420246124387
"153" "VEBONO" "VEBONO082037" 2018-03-15 "022 BCV" "DPBS02909-0071" 2037-08-06 7084 1 250250000 120.5 120.5 120.5 13.17 4 10.6612221262349
"154" "Valores Fin." "Valores Fin.072022" 2018-03-15 "022 BCV" "VFBS00722-0010" 2022-07-22 1590 2 48629155000 105.5 105.5 105.5 10 2 8.45160857191436
"155" "TIF" "TIF042019" 2018-03-16 "022 BCV" "DPBS08772-0026" 2019-04-18 398 1 2.1e+07 117.5313 117.5313 117.5313 16 4 -0.0533972673927519
"156" "TIF" "TIF022021" 2018-03-16 "022 BCV" "DPBS09345-0014" 2021-02-04 1056 1 5.8e+07 128.3213 128.3213 128.3213 16.5 4 5.78842790930727
"157" "VEBONO" "VEBONO032031" 2018-03-16 "022 BCV" "DPBS02207-0016" 2031-03-13 4745 1 116614000 129.6413 129.6413 129.6413 14.97 4 10.7077384956114
