"Tipo.Instrumento" "Nombre" "Fecha.op" "Fuente" "Sicet" "F.Vencimiento" "Plazo" "Op" "Monto" "Pre.min" "Pre.max" "Pre.prom" "Cupon" "Frecuencia" "Rendimiento"
"TIF" "TIF112016" 2016-02-11 "022 BCV" "DPBS07989-0054" 2016-11-18 281 1 7e+07 103.1063 103.1063 103.1063 18 4 13.53467322
"VEBONO" "VEBONO022025" 2016-02-11 "022 BCV" "DPBS00760-0016" 2025-02-27 3304 1 4e+07 126.4031 126.4031 126.4031 16.51 4 11.71843503
"TIF" "TIF022029" 2016-02-11 "022 BCV" "DPBS01632-0020" 2029-02-15 4753 1 5e+07 129.5446 129.5446 129.5446 15.5 4 11.15632054
"TIF" "TIF022030" 2016-02-11 "022 BCV" "DPBS01632-0048" 2030-02-28 5131 1 19537745 129.8875 129.8875 129.8875 15.65 4 11.35973854
"VEBONO" "VEBONO032031" 2016-02-11 "022 BCV" "DPBS02207-0016" 2031-03-13 5509 6 92570000 103.0212 103.7563 103.1905036 16.27 4 15.70364549
"TIF" "TIF032031" 2016-02-11 "022 BCV" "DPBS02207-0025" 2031-03-13 5509 5 60757000 102.0212 102.2304 102.153593 15 4 14.63472549
"TIF" "TIF032032" 2016-02-11 "022 BCV" "DPBS02207-0034" 2032-03-25 5887 5 64966000 100.5618 102.0188 101.5972415 15.25 4 14.97623875
"LETRA" "LTB052016" 2016-02-11 "022 BCV" "LTBS00516-0044" 2016-05-25 104 1 4.5e+07 98.9066 98.9066 98.9066 0 0 3.826687151
"TIF" "TIF042018" 2016-02-12 "022 BCV" "DPBS08773-0016" 2018-04-12 790 1 32971000 124.3 124.3 124.3 18 4 5.936549511
"VEBONO" "VEBONO062020" 2016-02-12 "022 BCV" "DPBS08771-0027" 2020-06-18 1588 1 32155000 126.7602 126.7602 126.7602 15.7 4 8.290880094
"TIF" "TIF022021" 2016-02-12 "022 BCV" "DPBS09345-0014" 2021-02-04 1819 2 87531802 129.5 129.5 129.5 16.5 4 9.068930949
"VEBONO" "VEBONO042024" 2016-02-12 "022 BCV" "DPBS09347-0012" 2024-04-18 2988 1 1.5e+07 130 130 130 16.17 4 10.62617161
"TIF" "TIF022029" 2016-02-12 "022 BCV" "DPBS01632-0020" 2029-02-15 4752 1 8e+07 132.0313 132.0313 132.0313 15.5 4 10.86066718
"VEBONO" "VEBONO032031" 2016-02-12 "022 BCV" "DPBS02207-0016" 2031-03-13 5508 1 10952000 110 110 110 16.27 4 14.60939627
"TIF" "TIF032031" 2016-02-12 "022 BCV" "DPBS02207-0025" 2031-03-13 5508 2 49212000 104.25 104.2813 104.26565 15 4 14.29766416
"TIF" "TIF032032" 2016-02-12 "022 BCV" "DPBS02207-0034" 2032-03-25 5886 2 36364000 102.2562 102.2875 102.27185 15.25 4 14.86693498
"LETRA" "LTB032016" 2016-02-12 "022 BCV" "LTBS00316-0055" 2016-03-30 47 1 3.15e+08 99.9891 99.9891 99.9891 0 0 0.083498463
"VEBONO" "VEBONO062016" 2016-02-15 "022 BCV" "DPBS07990-0014" 2016-06-17 123 1 7.7e+07 101.7881 101.7881 101.7881 13.73 4 8.142936125
"VEBONO" "VEBONO112017" 2016-02-15 "022 BCV" "DPBS07989-0045" 2017-11-23 647 1 1.2e+08 104.759 104.759 104.759 14.8 4 11.73197693
"VEBONO" "VEBONO122017" 2016-02-15 "022 BCV" "DPBS07989-0036" 2017-12-08 662 1 4.5e+07 103.5 103.5 103.5 14.76 4 12.53752334
"LETRA" "LTB052016" 2016-02-15 "022 BCV" "LTBS00516-0026" 2016-05-11 86 1 7e+07 99.3804 99.3804 99.3804 0 0 2.609845018
"TIF" "TIF032031" 2016-02-16 "022 BCV" "DPBS02207-0025" 2031-03-13 5504 1 29311000 108.75 108.75 108.75 15 4 13.61731243
"TIF" "TIF032032" 2016-02-16 "022 BCV" "DPBS02207-0034" 2032-03-25 5882 1 29953000 108.75 108.75 108.75 15.25 4 13.87500984
"LETRA" "LTB052016" 2016-02-16 "022 BCV" "LTBS00516-0044" 2016-05-25 99 1 4.5e+07 99.3932 99.3932 99.3932 0 0 2.220016515
"VEBONO" "VEBONO032031" 2016-02-17 "022 BCV" "DPBS02207-0016" 2031-03-13 5503 1 47519000 110 110 110 16.27 4 14.60923852
"TIF" "TIF032031" 2016-02-17 "022 BCV" "DPBS02207-0025" 2031-03-13 5503 1 1e+07 109.5 109.5 109.5 15 4 13.50788834
"TIF" "TIF032032" 2016-02-17 "022 BCV" "DPBS02207-0034" 2032-03-25 5881 1 1e+07 109.5 109.5 109.5 15.25 4 13.76641347
"LETRA" "LTB052016" 2016-02-17 "022 BCV" "LTBS00516-0017" 2016-05-18 91 2 155556000 98.3986 98.4299 98.41425 0 0 6.374378409
"LETRA" "LTB062016" 2016-02-17 "022 BCV" "LTBS00616-0034" 2016-06-01 105 1 5.5e+07 98.9922 98.9922 98.9922 0 0 3.490491459
"LETRA" "LTB022017" 2016-02-17 "022 BCV" "LTBS00217-0019" 2017-02-15 364 3 2e+08 97.2575 97.4385 97.3144875 0 0 2.729296985
"TIF" "TIF042019" 2016-02-18 "022 BCV" "DPBS08772-0026" 2019-04-18 1155 2 82405361 125.4 125.4 125.4 16 4 6.972908782
"TIF" "TIF042023" 2016-02-18 "022 BCV" "DPBS09345-0050" 2023-04-06 2604 1 58157700 128.35 128.35 128.35 16 4 10.32399071
"VEBONO" "VEBONO022024" 2016-02-18 "022 BCV" "DPBS00760-0025" 2024-02-22 2926 1 57362800 128.2235 128.2235 128.2235 16.28 4 10.92977545
"VEBONO" "VEBONO032031" 2016-02-18 "022 BCV" "DPBS02207-0016" 2031-03-13 5502 5 175748000 100.0313 105 101.9866351 16.27 4 15.90994598
"TIF" "TIF032031" 2016-02-18 "022 BCV" "DPBS02207-0025" 2031-03-13 5502 3 51495000 100.0313 105 101.6979667 15 4 14.70916668
"TIF" "TIF032032" 2016-02-18 "022 BCV" "DPBS02207-0034" 2032-03-25 5880 5 89287000 100.0313 105 101.4632083 15.25 4 14.99813159
"LETRA" "LTB052016" 2016-02-18 "022 BCV" "LTBS00516-0017" 2016-05-18 90 1 77778000 99.3518 99.3518 99.3518 0 0 2.60971618
"LETRA" "LTB062016" 2016-02-18 "022 BCV" "LTBS00616-0034" 2016-06-01 104 1 1.3e+08 99.4655 99.4655 99.4655 0 0 1.860134728
"VEBONO" "VEBONO042019" 2016-02-22 "022 BCV" "DPBS08773-0025" 2019-04-18 1151 1 5.7e+07 126.95 126.95 126.95 15.42 4 5.969198727
"VEBONO" "VEBONO042024" 2016-02-22 "022 BCV" "DPBS09347-0012" 2024-04-18 2978 2 7.72e+08 129.95 130.0125 129.98125 16.17 4 10.61877535
"VEBONO" "VEBONO012025" 2016-02-22 "022 BCV" "DPBS00324-0018" 2025-01-09 3244 2 772990310 129.1503 129.2503 129.2003 16.42 4 11.18076689
"TIF" "TIF022029" 2016-02-22 "022 BCV" "DPBS01632-0020" 2029-02-15 4742 1 1.4e+08 132.1 132.1 132.1 15.5 4 10.85876644
"VEBONO" "VEBONO032031" 2016-02-22 "022 BCV" "DPBS02207-0016" 2031-03-13 5498 2 114234000 108 112.5 108.7878565 16.27 4 14.79576169
"TIF" "TIF032031" 2016-02-22 "022 BCV" "DPBS02207-0025" 2031-03-13 5498 2 146475000 106.5 108 106.9759345 15 4 13.88092183
"TIF" "TIF032032" 2016-02-22 "022 BCV" "DPBS02207-0034" 2032-03-25 5876 2 147810000 106.5 108 106.9851837 15.25 4 14.13521308
"LETRA" "LTB082016" 2016-02-22 "022 BCV" "LTBS00816-0023" 2016-08-10 170 2 7.5e+07 98.6031 98.6031 98.6031 0 0 3.000048859
"VEBONO" "VEBONO082017" 2016-02-23 "022 BCV" "DPBS07993-0039" 2017-08-11 535 1 2e+08 113.5 113.5 113.5 14.64 4 5.031989633
"VEBONO" "VEBONO042028" 2016-02-23 "022 BCV" "DPBS01632-0039" 2028-04-20 4440 2 1.8e+08 128 128.5 128.3611111 16.37 4 11.91490751
"TIF" "TIF022029" 2016-02-23 "022 BCV" "DPBS01632-0020" 2029-02-15 4741 1 163509000 130.4 130.4 130.4 15.5 4 11.05959215
"VEBONO" "VEBONO062016" 2016-02-24 "022 BCV" "DPBS07990-0014" 2016-06-17 114 1 7.7e+07 101.7881 101.7881 101.7881 13.73 4 7.712913035
"VEBONO" "VEBONO112017" 2016-02-24 "022 BCV" "DPBS07989-0045" 2017-11-23 638 1 1.2e+08 104.759 104.759 104.759 14.8 4 11.74712927
"VEBONO" "VEBONO122017" 2016-02-24 "022 BCV" "DPBS07989-0036" 2017-12-08 653 1 4.5e+07 103.5 103.5 103.5 14.76 4 12.51251422
"TIF" "TIF082018" 2016-02-24 "022 BCV" "DPBS08773-0034" 2018-08-23 911 1 1.05e+08 122.26 122.26 122.26 16 4 6.296903917
"TIF" "TIF022021" 2016-02-24 "022 BCV" "DPBS09345-0014" 2021-02-04 1807 1 162960000 132 132 132 16.5 4 8.503111585
"VEBONO" "VEBONO042028" 2016-02-24 "022 BCV" "DPBS01632-0039" 2028-04-20 4439 1 5e+07 128.0313 128.0313 128.0313 16.37 4 11.95738723
"TIF" "TIF022029" 2016-02-24 "022 BCV" "DPBS01632-0020" 2029-02-15 4740 1 163509000 130.4313 130.4313 130.4313 15.5 4 11.05544129
"LETRA" "LTB052016" 2016-02-24 "022 BCV" "LTBS00516-0044" 2016-05-25 91 1 77778000 99.403 99.403 99.403 0 0 2.375942619
"LETRA" "LTB062016" 2016-02-24 "022 BCV" "LTBS00616-0025" 2016-06-08 105 1 7.5e+07 99.3386 99.3386 99.3386 0 0 2.282755286
"VEBONO" "VEBONO082017" 2016-02-25 "022 BCV" "DPBS07993-0039" 2017-08-11 533 1 1e+08 113.5 113.5 113.5 14.64 4 4.999182385
"TIF" "TIF042018" 2016-02-25 "022 BCV" "DPBS08773-0016" 2018-04-12 777 1 202790000 124.5 124.5 124.5 18 4 5.680361822
"TIF" "TIF082018" 2016-02-25 "022 BCV" "DPBS08773-0034" 2018-08-23 910 1 1.05e+08 122.2913 122.2913 122.2913 16 4 6.275822475
"VEBONO" "VEBONO042019" 2016-02-25 "022 BCV" "DPBS08773-0025" 2019-04-18 1148 1 79061200 126.25 126.25 126.25 15.42 4 6.16283153
"VEBONO" "VEBONO062020" 2016-02-25 "022 BCV" "DPBS08771-0027" 2020-06-18 1575 1 85227000 126.95 126.95 126.95 15.7 4 8.201236078
"TIF" "TIF022021" 2016-02-25 "022 BCV" "DPBS09345-0014" 2021-02-04 1806 1 162960000 132.0313 132.0313 132.0313 16.5 4 8.493439269
"VEBONO" "VEBONO012025" 2016-02-25 "022 BCV" "DPBS00324-0018" 2025-01-09 3241 1 77953000 127.9012 127.9012 127.9012 16.42 4 11.37420632
"TIF" "TIF022029" 2016-02-25 "022 BCV" "DPBS01632-0020" 2029-02-15 4739 2 165500000 130 132.0499 131.7340544 15.5 4 10.90049056
"VEBONO" "VEBONO052029" 2016-02-25 "022 BCV" "DPBS01632-0057" 2029-05-10 4823 2 1.1e+08 111.5 130.5 113.2272727 16.29 4 14.0701907
"TIF" "TIF032031" 2016-02-25 "022 BCV" "DPBS02207-0025" 2031-03-13 5495 7 109426000 100.9806 109 106.3369063 15 4 13.97769457
"VEBONO" "VEBONO032031" 2016-02-25 "022 BCV" "DPBS02207-0016" 2031-03-13 5495 9 198897000 101.9305 111.5 107.3857692 16.27 4 15.01598156
"TIF" "TIF032032" 2016-02-25 "022 BCV" "DPBS02207-0034" 2032-03-25 5873 7 111010000 100.9505 109 106.6080179 15.25 4 14.19175975
"LETRA" "LTB062016" 2016-02-25 "022 BCV" "LTBS00616-0025" 2016-06-08 104 1 7.5e+07 99.1434 99.1434 99.1434 0 0 2.990772806
"TIF" "TIF042018" 2016-02-26 "022 BCV" "DPBS08773-0016" 2018-04-12 776 1 202790000 124.5313 124.5313 124.5313 18 4 5.653357586
"VEBONO" "VEBONO062020" 2016-02-26 "022 BCV" "DPBS08771-0027" 2020-06-18 1574 2 185227000 126 126.9813 126.4515176 15.7 4 8.317640066
"VEBONO" "VEBONO012023" 2016-02-26 "022 BCV" "DPBS09345-0032" 2023-01-19 2519 1 39165000 127.2801 127.2801 127.2801 15.92 4 10.32957189
"VEBONO" "VEBONO052029" 2016-02-26 "022 BCV" "DPBS01632-0057" 2029-05-10 4822 1 1e+08 111.5313 111.5313 111.5313 16.29 4 14.33078315
"TIF" "TIF032031" 2016-02-26 "022 BCV" "DPBS02207-0025" 2031-03-13 5494 3 59878000 101.0313 108 105.3441471 15 4 14.12992331
"VEBONO" "VEBONO032031" 2016-02-26 "022 BCV" "DPBS02207-0016" 2031-03-13 5494 1 36496000 108 108 108 16.27 4 14.91895287
"TIF" "TIF032032" 2016-02-26 "022 BCV" "DPBS02207-0034" 2032-03-25 5872 2 32532000 101.0313 108 105.0010513 15.25 4 14.43662557
"LETRA" "LTB042016" 2016-02-26 "022 BCV" "LTBS00416-0036" 2016-04-06 40 1 121062000 99.982 99.982 99.982 0 0 0.162029165
"LETRA" "LTB062016" 2016-02-26 "022 BCV" "LTBS00616-0025" 2016-06-08 103 1 5e+07 99.5018 99.5018 99.5018 0 0 1.750000054
"VEBONO" "VEBONO032019" 2016-02-29 "022 BCV" "DPBS08773-0043" 2019-03-28 1123 1 66421000 129 129 129 15.42 4 5.153209786
"VEBONO" "VEBONO062020" 2016-02-29 "022 BCV" "DPBS08771-0027" 2020-06-18 1571 1 1e+08 127 127 127 15.7 4 8.175498367
"TIF" "TIF022021" 2016-02-29 "022 BCV" "DPBS09345-0014" 2021-02-04 1802 1 5e+07 132 132 132 16.5 4 8.48759571
"VEBONO" "VEBONO012023" 2016-02-29 "022 BCV" "DPBS09345-0032" 2023-01-19 2516 1 7.6e+07 127 127 127 15.92 4 10.37448904
"VEBONO" "VEBONO022024" 2016-02-29 "022 BCV" "DPBS00760-0025" 2024-02-22 2915 1 5e+07 126.75 126.75 126.75 16.28 4 11.17052142
"VEBONO" "VEBONO052029" 2016-02-29 "022 BCV" "DPBS01632-0057" 2029-05-10 4819 2 2e+07 125 126.5 125.75 16.29 4 12.31569744
"TIF" "TIF032031" 2016-02-29 "022 BCV" "DPBS02207-0025" 2031-03-13 5491 3 126923000 103.25 111.95 106.2745901 15 4 13.98725895
